2017/11/16 15:35:07 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:35:07 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 15:35:12 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:12 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:35:12 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:35:12 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:35:12 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:12 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:13 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:35:13 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:13 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:13 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:13 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:35:53 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_HELLO] 1
2017/11/16 15:35:53 ZEBRA: client 16 says hello and bids fair to announce only ospf routes
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_ROUTER_ID_ADD] 0
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_INTERFACE_ADD] 0
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_HELLO] 1
2017/11/16 15:35:53 ZEBRA: client 17 says hello and bids fair to announce only ospf6 routes
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_ROUTER_ID_ADD] 0
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_INTERFACE_ADD] 0
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 19
2017/11/16 15:35:53 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 19
2017/11/16 15:36:33 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:33 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:36:38 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:43 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 15:36:43 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 15:36:43 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:36:44 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:36:44 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:36:44 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:36:44 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:36:44 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:23 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:24 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:43:24 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:43:24 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
